379921074762832|07|2028|7085
379921074750589|03|2034|2273
379921074774480|06|2028|5105
379921074749235|04|2027|5423
379921074790916|05|2029|6783
379921074722406|06|2026|1657
379921074737719|05|2030|6832
379921074727058|12|2027|7841
379921074789280|08|2026|4857
379921074729112|10|2028|9725
379921074790619|06|2033|4917
379921074730854|11|2034|7008
379921074763020|03|2024|4710
379921074782426|08|2025|7161
379921074735531|10|2025|8212
379921074712811|12|2029|5290
379921074790700|09|2032|6660
379921074724402|08|2030|9765
379921074757550|12|2029|9636
379921074727488|06|2025|9429
379921074739012|09|2029|9365
379921074730250|01|2034|3826
379921074739798|01|2029|9481
379921074752791|05|2032|7600
379921074788357|11|2034|4774
379921074716424|12|2028|4194
379921074738402|04|2027|6839
379921074705112|09|2031|7346
379921074704610|03|2034|5115
379921074771866|08|2029|4403
379921074711698|08|2030|7045
379921074702515|02|2031|1480
379921074796350|03|2031|3565
379921074730698|09|2035|7946
379921074775339|09|2033|2416
379921074766932|09|2024|5378
379921074733288|01|2026|9292
379921074722125|03|2029|2508
379921074721671|07|2028|8278
379921074750233|01|2030|7450
379921074755158|01|2026|1800
379921074763392|06|2028|4672
379921074744178|12|2034|8888
379921074795212|06|2035|7297
379921074781345|07|2027|5611
379921074736406|03|2027|9329
379921074799644|10|2027|1837
379921074797374|05|2035|7378
379921074773995|09|2028|3732
379921074797036|10|2033|6793
379921074711649|05|2028|1717
379921074772013|12|2025|9498
379921074795709|09|2032|8435
379921074725672|07|2029|7604
379921074756446|10|2033|5674
379921074782913|03|2033|2382
379921074796400|03|2025|4483
379921074787144|09|2028|8216
379921074731340|02|2035|8257
379921074715848|10|2028|5055
379921074706185|07|2028|3790
379921074715996|05|2026|5381
379921074726498|10|2035|5342
379921074784372|08|2024|5153
379921074770041|08|2026|1141
379921074788092|06|2033|6632
379921074769514|11|2026|5434
379921074788837|12|2025|4584
379921074781725|04|2028|5059
379921074788498|04|2033|5232
379921074742149|03|2033|9898
379921074730052|09|2024|9810
379921074728403|09|2026|4183
379921074767427|12|2034|4296
379921074724741|01|2034|6116
379921074732041|11|2033|5925
379921074736679|02|2027|4130
379921074765843|05|2024|1361
379921074717505|12|2024|3400
379921074789645|05|2032|5676
